Subject ID,Trial,X,state
1,1,0,2
1,2,0,2
1,3,0,2
1,4,0,2
1,5,0,2
1,6,0,2
1,7,0,2
1,8,0,2
1,9,0,2
1,10,0,2
1,11,0,2
1,12,1,3
1,13,1,3
1,14,0,2
1,15,0,2
1,16,0,2
1,17,0,2
1,18,0,2
3,1,0,2
3,2,0,2
3,3,0,2
3,4,1,3
3,5,0,2
3,6,1,3
3,7,1,3
3,8,0,2
3,9,0,2
3,10,0,2
3,11,0,2
3,12,0,2
3,13,0,2
3,14,0,2
3,15,1,3
3,16,0,2
3,17,0,2
3,18,0,2
5,1,0,2
5,2,0,2
5,3,1,3
5,4,1,3
5,5,0,2
5,6,0,2
5,7,0,2
5,8,0,2
5,9,0,2
5,10,0,2
5,11,0,2
5,12,0,2
5,13,0,2
5,14,0,2
5,15,0,2
5,16,0,2
5,17,0,2
5,18,0,2
7,1,0,2
7,2,0,2
7,3,0,2
7,4,1,3
7,5,0,2
7,6,0,2
7,7,1,3
7,8,0,2
7,9,1,3
7,10,0,2
7,11,0,2
7,12,1,3
7,13,0,2
7,14,0,2
7,15,1,3
7,16,0,2
7,17,1,3
7,18,0,2
9,1,0,2
9,2,0,2
9,3,0,2
9,4,1,3
9,5,0,2
9,6,0,2
9,7,1,3
9,8,0,2
9,9,0,2
9,10,0,2
9,11,0,2
9,12,1,3
9,13,0,2
9,14,0,2
9,15,1,3
9,16,0,2
9,17,1,3
9,18,0,2
11,1,0,2
11,2,0,2
11,3,0,2
11,4,1,3
11,5,0,2
11,6,0,2
11,7,1,3
11,8,0,2
11,9,0,2
11,10,0,2
11,11,0,2
11,12,0,2
11,13,0,2
11,14,0,2
11,15,0,2
11,16,0,2
11,17,0,2
11,18,0,2
13,1,0,2
13,2,0,2
13,3,0,2
13,4,0,2
13,5,0,2
13,6,0,2
13,7,0,2
13,8,0,2
13,9,1,3
13,10,0,2
13,11,0,2
13,12,0,2
13,13,0,2
13,14,0,2
13,15,0,2
13,16,1,3
13,17,0,2
13,18,0,2
15,1,0,2
15,2,0,2
15,3,0,2
15,4,1,3
15,5,0,2
15,6,0,2
15,7,1,3
15,8,0,2
15,9,0,2
15,10,0,2
15,11,0,2
15,12,1,3
15,13,0,2
15,14,0,2
15,15,1,3
15,16,0,2
15,17,0,2
15,18,0,2
18,1,0,2
18,2,0,2
18,3,0,2
18,4,1,3
18,5,0,2
18,6,1,3
18,7,1,3
18,8,0,2
18,9,0,2
18,10,0,2
18,11,0,2
18,12,0,2
18,13,0,2
18,14,0,2
18,15,1,3
18,16,0,2
18,17,1,3
18,18,0,2
20,1,0,2
20,2,0,2
20,3,1,3
20,4,1,3
20,5,0,2
20,6,0,2
20,7,0,2
20,8,0,2
20,9,0,2
20,10,0,2
20,11,0,2
20,12,0,2
20,13,1,3
20,14,0,2
20,15,0,2
20,16,0,2
20,17,0,2
20,18,0,2
21,1,0,2
21,2,0,2
21,3,0,2
21,4,0,2
21,5,0,2
21,6,0,2
21,7,0,2
21,8,0,2
21,9,0,2
21,10,0,2
21,11,0,2
21,12,0,2
21,13,0,2
21,14,0,2
21,15,0,2
21,16,0,2
21,17,0,2
21,18,0,1
23,1,0,2
23,2,0,2
23,3,0,2
23,4,1,3
23,5,0,2
23,6,0,2
23,7,1,3
23,8,0,2
23,9,0,2
23,10,0,2
23,11,0,2
23,12,0,2
23,13,0,2
23,14,0,2
23,15,0,2
23,16,0,2
23,17,0,2
23,18,0,2
25,1,0,2
25,2,0,2
25,3,1,3
25,4,0,2
25,5,0,2
25,6,1,3
25,7,1,3
25,8,0,2
25,9,0,2
25,10,0,2
25,11,0,2
25,12,0,2
25,13,1,3
25,14,0,2
25,15,1,3
25,16,0,2
25,17,0,2
25,18,0,2
26,1,0,2
26,2,0,2
26,3,0,2
26,4,0,2
26,5,0,2
26,6,0,2
26,7,1,3
26,8,0,2
26,9,0,2
26,10,0,2
26,11,0,2
26,12,0,2
26,13,0,2
26,14,0,2
26,15,0,2
26,16,0,2
26,17,0,2
26,18,0,2
28,1,0,2
28,2,0,2
28,3,0,2
28,4,0,2
28,5,0,2
28,6,0,2
28,7,0,2
28,8,0,2
28,9,1,3
28,10,0,2
28,11,0,2
28,12,0,2
28,13,0,2
28,14,0,2
28,15,0,2
28,16,0,2
28,17,0,2
28,18,0,2
30,1,0,2
30,2,0,2
30,3,0,2
30,4,0,2
30,5,0,2
30,6,0,2
30,7,0,2
30,8,0,2
30,9,0,2
30,10,0,2
30,11,0,2
30,12,0,2
30,13,0,2
30,14,0,2
30,15,0,2
30,16,1,3
30,17,0,2
30,18,0,2
32,1,0,2
32,2,0,2
32,3,0,2
32,4,0,2
32,5,0,2
32,6,0,2
32,7,1,3
32,8,0,2
32,9,0,2
32,10,0,2
32,11,0,2
32,12,1,3
32,13,0,2
32,14,0,2
32,15,1,3
32,16,0,2
32,17,0,2
32,18,0,2
34,1,0,2
34,2,0,2
34,3,0,2
34,4,1,3
34,5,0,2
34,6,0,2
34,7,1,3
34,8,0,2
34,9,0,2
34,10,0,2
34,11,0,2
34,12,0,2
34,13,0,2
34,14,0,2
34,15,0,2
34,16,0,2
34,17,0,2
34,18,0,2
36,1,0,2
36,2,0,2
36,3,0,2
36,4,1,3
36,5,0,2
36,6,0,2
36,7,0,2
36,8,0,2
36,9,0,2
36,10,0,2
36,11,0,2
36,12,0,2
36,13,0,2
36,14,0,2
36,15,0,2
36,16,0,2
36,17,0,2
36,18,0,2
38,1,0,2
38,2,0,2
38,3,0,2
38,4,1,3
38,5,0,2
38,6,0,2
38,7,0,2
38,8,0,2
38,9,1,3
38,10,0,2
38,11,0,2
38,12,0,2
38,13,0,2
38,14,0,2
38,15,0,2
38,16,0,2
38,17,0,2
38,18,0,2
